referer,id,mandante,visitante,placar,liga,country,round,year,data,bookmaker,HO_Close,DO_Close,AO_Close,HO_Open,DO_Open,AO_Open,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close
/football/albania/superliga/partizani-kf-egnatia/,W44C3lWN,Partizani,Egnatia,1:1,superliga,albania,main,2023,2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-dinamo-tirana/,6LLO6Kco,Erzeni,Dinamo Tirana,2:1,superliga,albania,main,2023,2023-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-teuta/,jk9i8CHh,Laci,Teuta,6:1,superliga,albania,main,2023,2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-tirana-skenderbeu-korca/,hE584UGH,KF Tirana,Skenderbeu,3:1,superliga,albania,main,2023,2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-partizani/,2PCe7WWb,Vllaznia,Partizani,0:0,superliga,albania,main,2023,2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/dinamo-tirana-kukesi/,zwB35A1B,Dinamo Tirana,Kukesi,2:1,superliga,albania,main,2023,2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-erzeni-shijak/,dnCa6jn5,Egnatia,Erzeni,4:3,superliga,albania,main,2023,2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kukesi-kf-egnatia/,I1vwkkHU,Kukesi,Egnatia,0:4,superliga,albania,main,2023,2023-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/partizani-laci/,dnjUjBnI,Partizani,Laci,1:0,superliga,albania,main,2023,2023-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/teuta-kf-tirana/,8QJn9h2n,Teuta,KF Tirana,2:2,superliga,albania,main,2023,2023-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/erzeni-shijak-vllaznia/,UZKrAYnt,Erzeni,Vllaznia,2:2,superliga,albania,main,2023,2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/skenderbeu-korca-dinamo-tirana/,vBuZkV1O,Skenderbeu,Dinamo Tirana,1:0,superliga,albania,main,2023,2023-09-01,Pinnacle,2.53,2.80,2.51,2.08,2.67,3.19,2.42,2.53,1.40,1.40,2.06,2.44,1.58,1.43,1.78,2.17,1.82,1.55,1.46,1.83,2.30,1.81,1.32,1.56,2.71,2.15,1.36,1.41,2.67,2.46,1.34,1.33,2.76,2.79
/football/albania/superliga/dinamo-tirana-kf-tirana/,rqnQiiXB,Dinamo Tirana,KF Tirana,2:3,superliga,albania,main,2023,2023-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/laci-erzeni-shijak/,r9HLfgmg,Laci,Erzeni,3:3,superliga,albania,main,2023,2023-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/kf-egnatia-skenderbeu-korca/,lMnMhXH5,Egnatia,Skenderbeu,0:1,superliga,albania,main,2023,2023-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/football/albania/superliga/vllaznia-kukesi/,AVmIgD2a,Vllaznia,Kukesi,3:1,superliga,albania,main,2023,2023-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
