Country,League,Date,Home,Away,FTHG,FTAG,Pinnacle_-2.25_AH_H_Open,Pinnacle_-2.25_AH_H_Close,Pinnacle_+2.25_AH_A_Open,Pinnacle_+2.25_AH_A_Close,Pinnacle_-2_AH_H_Open,Pinnacle_-2_AH_H_Close,Pinnacle_+2_AH_A_Open,Pinnacle_+2_AH_A_Close,Pinnacle_-1.75_AH_H_Open,Pinnacle_-1.75_AH_H_Close,Pinnacle_+1.75_AH_A_Open,Pinnacle_+1.75_AH_A_Close,Pinnacle_-1.5_AH_H_Open,Pinnacle_-1.5_AH_H_Close,Pinnacle_+1.5_AH_A_Open,Pinnacle_+1.5_AH_A_Close,Pinnacle_-1.25_AH_H_Open,Pinnacle_-1.25_AH_H_Close,Pinnacle_+1.25_AH_A_Open,Pinnacle_+1.25_AH_A_Close,Pinnacle_-1_AH_H_Open,Pinnacle_-1_AH_H_Close,Pinnacle_+1_AH_A_Open,Pinnacle_+1_AH_A_Close,Pinnacle_-0.75_AH_H_Open,Pinnacle_-0.75_AH_H_Close,Pinnacle_+0.75_AH_A_Open,Pinnacle_+0.75_AH_A_Close,Pinnacle_-0.5_AH_H_Open,Pinnacle_-0.5_AH_H_Close,Pinnacle_+0.5_AH_A_Open,Pinnacle_+0.5_AH_A_Close,Pinnacle_-0.25_AH_H_Open,Pinnacle_-0.25_AH_H_Close,Pinnacle_+0.25_AH_A_Open,Pinnacle_+0.25_AH_A_Close,Pinnacle_+0_AH_H_Open,Pinnacle_+0_AH_H_Close,Pinnacle_-0_AH_A_Open,Pinnacle_-0_AH_A_Close,Pinnacle_+0.25_AH_H_Open,Pinnacle_+0.25_AH_H_Close,Pinnacle_-0.25_AH_A_Open,Pinnacle_-0.25_AH_A_Close,Pinnacle_+0.5_AH_H_Open,Pinnacle_+0.5_AH_H_Close,Pinnacle_-0.5_AH_A_Open,Pinnacle_-0.5_AH_A_Close,Pinnacle_+0.75_AH_H_Open,Pinnacle_+0.75_AH_H_Close,Pinnacle_-0.75_AH_A_Open,Pinnacle_-0.75_AH_A_Close,Pinnacle_+1_AH_H_Open,Pinnacle_+1_AH_H_Close,Pinnacle_-1_AH_A_Open,Pinnacle_-1_AH_A_Close,Pinnacle_+1.25_AH_H_Open,Pinnacle_+1.25_AH_H_Close,Pinnacle_-1.25_AH_A_Open,Pinnacle_-1.25_AH_A_Close,Pinnacle_+1.5_AH_H_Open,Pinnacle_+1.5_AH_H_Close,Pinnacle_-1.5_AH_A_Open,Pinnacle_-1.5_AH_A_Close,Pinnacle_+1.75_AH_H_Open,Pinnacle_+1.75_AH_H_Close,Pinnacle_-1.75_AH_A_Open,Pinnacle_-1.75_AH_A_Close
algeria,ligue-1,2023-11-10,US Souf,Constantine,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,2.64,1.46,1.48,2.13,2.17,1.69,1.7,1.75,1.76,2.12,2.13,1.53,1.54,2.47,2.5,1.36,1.37,3.0,3.05,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-10,USM Alger,CR Belouizdad,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2.62,2.79,1.42,1.43,2.21,2.33,1.6,1.62,1.91,1.97,1.86,1.88,1.53,1.57,2.34,2.42,1.37,1.39,2.8,2.95,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-10,Paradou,Oran,1,0,,,,,,,,,,,,,2.37,2.5,1.5,1.52,2.11,2.17,1.66,1.7,1.83,1.83,1.84,2.03,1.6,1.58,2.21,2.4,1.46,1.44,2.49,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-10,ES Setif,Kabylie,1,0,,,,,,,,,,,,,,,,,,,,,3.09,3.17,1.32,1.33,2.78,2.42,1.39,1.56,2.54,2.08,1.44,1.8,2.17,1.74,1.62,2.07,1.79,1.43,2.0,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-11,Saoura,El Bayadh,0,0,,,,,,,,,,,,,2.71,2.74,1.44,1.45,2.7,2.39,1.39,1.59,2.36,2.02,1.53,1.84,1.96,1.7,1.81,2.18,1.7,1.53,2.03,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-11,Magra,Ben Aknoun,3,1,,,,,,,,,,,,,,,,,2.41,2.44,1.53,1.55,2.09,2.1,1.72,1.75,1.8,1.8,2.05,2.07,1.6,1.61,2.3,2.35,1.39,1.4,2.86,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-11,Khenchela,Biskra,0,1,,,,,2.98,2.88,1.38,1.41,2.71,2.29,1.44,1.64,2.3,1.99,1.62,1.87,2.74,1.71,1.4,2.16,2.39,1.44,1.53,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-11,ASO Chlef,MC Alger,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,2.62,1.67,1.48,1.8,2.22,1.98,1.67,1.45,1.81,2.56,2.06,1.32,1.53,3.04,2.53,1.38,1.39,2.99,2.97,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-14,Paradou,CR Belouizdad,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2.69,1.84,1.46,1.64,2.31,2.14,1.63,1.36,1.9,2.83,1.95,1.35,1.6,3.13,2.36,1.41,1.44,2.82,2.75,,,,,,,,,,,,,,,,,,,,
algeria,ligue-1,2023-11-14,ES Setif,USM Alger,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2.34,2.52,1.54,1.52,2.03,2.14,1.76,1.72,1.71,1.83,2.03,2.03,1.41,1.49,2.65,2.66,1.34,1.35,3.22,3.18,,,,,,,,,,,,,,,,,,,,,,,,
